episode,reward,steps,finished,offtrack_ratio,tiles_visited
74,-234.9999999999998,50,0,1.0,4
75,-234.99999999999983,50,0,1.0,4
76,-234.99999999999983,50,0,1.0,4
77,-244.99999999999983,50,0,1.0,3
78,-234.9999999999998,50,0,1.0,4
79,-234.99999999999983,50,0,1.0,4
80,-234.9999999999998,50,0,1.0,4
81,-244.9999999999998,50,0,1.0,3
82,-234.9999999999998,50,0,1.0,4
83,-234.9999999999998,50,0,1.0,4
84,-234.9999999999998,50,0,1.0,4
85,-234.9999999999998,50,0,1.0,4
86,-234.99999999999983,50,0,1.0,4
87,-244.9999999999998,50,0,1.0,3
88,-234.9999999999998,50,0,1.0,4
89,-234.9999999999998,50,0,1.0,4
90,-234.9999999999998,50,0,1.0,4
91,-244.9999999999998,50,0,1.0,3
92,-244.9999999999998,50,0,1.0,3
93,-244.9999999999998,50,0,1.0,3
94,-244.9999999999998,50,0,1.0,3
95,-244.9999999999998,50,0,1.0,3
96,-224.99999999999983,50,0,1.0,5
97,-234.9999999999998,50,0,1.0,4
98,-234.9999999999998,50,0,1.0,4
99,-234.9999999999998,50,0,1.0,4
100,-234.99999999999983,50,0,1.0,4
101,-214.99999999999983,50,0,1.0,6
102,-234.9999999999998,50,0,1.0,4
103,-224.99999999999983,50,0,1.0,5
104,-234.99999999999983,50,0,1.0,4
105,-234.9999999999998,50,0,1.0,4
106,-244.9999999999998,50,0,1.0,3
107,-244.9999999999998,50,0,1.0,3
108,-244.9999999999998,50,0,1.0,3
109,-224.99999999999983,50,0,1.0,5
110,-234.9999999999998,50,0,1.0,4
111,-234.9999999999998,50,0,1.0,4
112,-224.99999999999983,50,0,1.0,5
113,-224.9999999999998,50,0,1.0,5
114,-234.9999999999998,50,0,1.0,4
115,-224.99999999999983,50,0,1.0,5
116,-234.9999999999998,50,0,1.0,4
117,-224.99999999999983,50,0,1.0,5
118,-234.99999999999983,50,0,1.0,4
119,-234.9999999999998,50,0,1.0,4
120,-224.99999999999983,50,0,1.0,5
121,-244.9999999999998,50,0,1.0,3
122,-234.9999999999998,50,0,1.0,4
123,-224.99999999999983,50,0,1.0,5
124,-244.9999999999998,50,0,1.0,3
125,-234.99999999999983,50,0,1.0,4
126,-224.9999999999998,50,0,1.0,5
127,-234.9999999999998,50,0,1.0,4
128,-234.99999999999983,50,0,1.0,4
129,-234.9999999999998,50,0,1.0,4
130,-234.9999999999998,50,0,1.0,4
131,-244.9999999999998,50,0,1.0,3
132,-234.9999999999998,50,0,1.0,4
133,-244.99999999999983,50,0,1.0,3
134,-244.9999999999998,50,0,1.0,3
135,-234.99999999999983,50,0,1.0,4
136,-234.9999999999998,50,0,1.0,4
137,-234.9999999999998,50,0,1.0,4
138,-234.9999999999998,50,0,1.0,4
139,-234.9999999999998,50,0,1.0,4
140,-224.9999999999998,50,0,1.0,5
141,-234.9999999999998,50,0,1.0,4
142,-244.9999999999998,50,0,1.0,3
143,-224.9999999999998,50,0,1.0,5
144,-234.9999999999998,50,0,1.0,4
145,-224.9999999999998,50,0,1.0,5
146,-224.99999999999983,50,0,1.0,5
147,-234.9999999999998,50,0,1.0,4
148,-234.9999999999998,50,0,1.0,4
149,-234.99999999999983,50,0,1.0,4
150,-234.9999999999998,50,0,1.0,4
151,-234.9999999999998,50,0,1.0,4
152,-224.9999999999998,50,0,1.0,5
153,-234.9999999999998,50,0,1.0,4
154,-244.99999999999983,50,0,1.0,3
155,-244.9999999999998,50,0,1.0,3
156,-244.99999999999983,50,0,1.0,3
157,-234.9999999999998,50,0,1.0,4
158,-224.9999999999998,50,0,1.0,5
159,-234.99999999999983,50,0,1.0,4
160,-234.9999999999998,50,0,1.0,4
161,-234.9999999999998,50,0,1.0,4
162,-224.99999999999983,50,0,1.0,5
163,-234.99999999999983,50,0,1.0,4
